Census_Code_2021,Census_Name_2021,url_name,url_fullname
LGA54200,Kalamunda,,
LGA54280,Kalgoorlie-Boulder,,
LGA54310,Karratha,,
LGA54340,Katanning,,
LGA54410,Kellerberrin,,
LGA54480,Kent,,
LGA54550,Kojonup,,
LGA54620,Kondinin,,
LGA54690,Koorda,,
LGA54760,Kulin,,
LGA54830,Kwinana,,
LGA54900,Lake Grace,,
LGA54970,Laverton,,
LGA55040,Leonora,,
LGA55110,Mandurah,,
LGA55180,Manjimup,,
LGA55250,Meekatharra,,
LGA55320,Melville,,
LGA55390,Menzies,,
LGA55460,Merredin,,
LGA55530,Mingenew,,
LGA55600,Moora,,
LGA55670,Morawa,,
LGA55740,Mosman Park,,
LGA55810,Mount Magnet,,
LGA55880,Mount Marshall,,
LGA55950,Mukinbudin,,
LGA56090,Mundaring,,
LGA56160,Murchison,,
LGA56230,Murray,,
LGA56300,Nannup,,
LGA56370,Narembeen,,
LGA56460,Narrogin,,
LGA56580,Nedlands,,
LGA56620,Ngaanyatjarraku,,
LGA56730,Northam,,
LGA56790,Northampton,,
LGA56860,Nungarin,,
LGA56930,Peppermint Grove,,
LGA57000,Perenjori,,
LGA57080,Perth,,
LGA57140,Pingelly,,
LGA57210,Plantagenet,,
LGA57280,Port Hedland,,
LGA57350,Quairading,,
LGA57420,Ravensthorpe,,
LGA57490,Rockingham,,
LGA57630,Sandstone,,
LGA57700,Serpentine-Jarrahdale,,
LGA57770,Shark Bay,,
LGA57840,South Perth,,
LGA57910,Stirling,,
LGA57980,Subiaco,,
LGA58050,Swan,,
LGA58190,Tammin,,
LGA58260,Three Springs,,
LGA58330,Toodyay,,
LGA58400,Trayning,,
LGA58470,Upper Gascoyne,,
LGA58510,Victoria Park,,
LGA58540,Victoria Plains,,
LGA58570,Vincent,,
LGA58610,Wagin,,
LGA58680,Wandering,,
LGA58760,Wanneroo,,
LGA58820,Waroona,,
LGA58890,West Arthur,,
LGA59030,Westonia,,
LGA59100,Wickepin,,
LGA59170,Williams,,
LGA59250,Wiluna,,
LGA59310,Wongan-Ballidu,,
LGA59320,Woodanilling,,
LGA59330,Wyalkatchem,,
LGA59340,Wyndham-East Kimberley,,
LGA59350,Yalgoo,,
LGA59360,Yilgarn,,
LGA59370,York,,
LGA59499,No usual address (WA),,
LGA59799,Migratory - Offshore - Shipping (WA),,
LGA60210,Break O'Day,,
LGA60410,Brighton,,
LGA60610,Burnie,,
LGA60810,Central Coast (Tas.),,
LGA61010,Central Highlands (Tas.),,
LGA61210,Circular Head,,
LGA61410,Clarence,,
LGA61510,Derwent Valley,,
LGA61610,Devonport,,
LGA61810,Dorset,,
LGA62010,Flinders (Tas.),,
LGA62210,George Town,,
LGA62410,Glamorgan-Spring Bay,,
LGA62610,Glenorchy,,
LGA62810,Hobart,,
LGA63010,Huon Valley,,
LGA63210,Kentish,,
LGA63410,King Island,,
LGA63610,Kingborough,,
LGA63810,Latrobe (Tas.),,
LGA64010,Launceston,,
LGA64210,Meander Valley,,
LGA64610,Northern Midlands,,
LGA64810,Sorell,,
LGA65010,Southern Midlands,,
LGA65210,Tasman,,
LGA65410,Waratah-Wynyard,,
LGA65610,West Coast,,
LGA65810,West Tamar,,
LGA69499,No usual address (Tas.),,
LGA69799,Migratory - Offshore - Shipping (Tas.),,
LGA70200,Alice Springs,,
LGA70420,Barkly,,
LGA70540,Belyuen,,
LGA70620,Central Desert,,
LGA70700,Coomalie,,
LGA71000,Darwin,,
LGA71150,Darwin Waterfront Precinct,,
LGA71300,East Arnhem,,
LGA72200,Katherine,,
LGA72300,Litchfield,,
LGA72330,MacDonnell,,
LGA72800,Palmerston,,
LGA73600,Roper Gulf,,
LGA74050,Tiwi Islands,,
LGA74550,Victoria Daly,,
LGA74560,Wagait,,
LGA74660,West Arnhem,,
LGA74680,West Daly,,
LGA79399,Unincorporated NT,,
LGA79499,No usual address (NT),,
LGA79799,Migratory - Offshore - Shipping (NT),,
LGA89399,Unincorporated ACT,,
LGA89499,No usual address (ACT),,
LGA89799,Migratory - Offshore - Shipping (ACT),,
LGA99399,Unincorp. Other Territories,,
LGA99499,No usual address (OT),,
LGA99799,Migratory - Offshore - Shipping (OT),,
